age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
41,Self-Employed,Bachelors,Married,White-Collar,White,Male,72,0
39,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
39,Private,Some-college,Married,White-Collar,White,Female,35,1
58,Private,Some-college,Divorced,White-Collar,White,Female,40,0
55,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,30,0
59,Private,Bachelors,Married,White-Collar,White,Female,30,0
51,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
41,Private,Prof-school,Married,White-Collar,White,Male,50,1
36,Private,Some-college,Widowed,Sales,White,Female,20,0
55,Self-Employed,School,Single,Service,White,Female,60,0
65,Private,Some-college,Widowed,White-Collar,White,Female,40,0
39,Private,Bachelors,Single,White-Collar,White,Female,40,0
39,Private,HS-grad,Separated,Blue-Collar,White,Female,24,0
43,Private,Bachelors,Married,Professional,White,Male,40,1
29,Private,HS-grad,Married,Service,White,Female,40,1
31,Private,Prof-school,Married,Professional,White,Male,25,1
36,Private,Some-college,Married,Sales,White,Male,40,0
44,Private,Prof-school,Married,Professional,White,Male,29,1
34,Private,Bachelors,Married,Professional,White,Male,42,1
47,Self-Employed,Bachelors,Married,Professional,Other,Male,40,0
42,Private,Assoc,Single,Service,White,Male,40,0
64,Private,HS-grad,Divorced,Blue-Collar,White,Male,20,0
28,Private,Some-college,Married,White-Collar,White,Male,40,1
49,Private,Bachelors,Widowed,Professional,White,Female,35,0
31,Private,Assoc,Married,Blue-Collar,Other,Male,50,1
40,Self-Employed,Some-college,Married,Professional,White,Female,40,1
26,Private,Bachelors,Married,Professional,White,Female,45,1
46,Other/Unknown,HS-grad,Divorced,Other/Unknown,White,Female,15,0
56,Private,HS-grad,Married,Blue-Collar,White,Male,18,0
63,Private,School,Married,Service,White,Male,30,0
62,Other/Unknown,Some-college,Married,Other/Unknown,White,Male,24,0
59,Government,Some-college,Widowed,Service,White,Female,40,0
52,Private,HS-grad,Widowed,Blue-Collar,White,Male,40,0
36,Private,Bachelors,Divorced,Professional,White,Male,45,0
38,Private,Some-college,Divorced,White-Collar,White,Male,50,0
45,Private,School,Widowed,White-Collar,White,Female,40,0
67,Private,School,Married,Blue-Collar,Other,Male,20,0
38,Private,HS-grad,Married,Blue-Collar,White,Male,99,0
78,Other/Unknown,Masters,Widowed,Other/Unknown,White,Female,15,0
44,Government,Bachelors,Married,Professional,Other,Male,38,1
66,Private,HS-grad,Single,Service,Other,Female,3,0
55,Government,Bachelors,Married,Professional,White,Female,60,0
29,Private,Bachelors,Married,Professional,White,Male,40,1
42,Private,School,Married,Blue-Collar,White,Male,40,0
38,Private,Some-college,Married,Blue-Collar,White,Male,40,0
58,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
35,Government,Bachelors,Married,Blue-Collar,White,Male,40,1
56,Government,HS-grad,Married,Blue-Collar,White,Male,40,0
61,Private,Bachelors,Married,White-Collar,White,Male,40,0
30,Private,Bachelors,Married,Sales,White,Male,50,1
41,Self-Employed,Some-college,Divorced,Blue-Collar,White,Male,50,0
36,Government,Assoc,Single,Professional,White,Female,40,0
39,Private,Bachelors,Single,White-Collar,Other,Male,45,0
43,Private,HS-grad,Divorced,White-Collar,White,Female,30,1
41,Government,Assoc,Married,Professional,White,Male,40,1
50,Private,HS-grad,Separated,Service,Other,Female,40,0
64,Private,Bachelors,Married,Sales,White,Male,40,0
61,Private,School,Married,Professional,White,Male,40,0
41,Private,HS-grad,Divorced,Blue-Collar,White,Male,48,0
30,Private,Masters,Married,White-Collar,White,Male,50,1
44,Private,Masters,Married,White-Collar,White,Male,40,1
40,Private,HS-grad,Divorced,Sales,White,Female,30,0
39,Private,School,Widowed,Blue-Collar,Other,Male,40,0
37,Private,Some-college,Single,Service,White,Female,40,0
39,Private,School,Divorced,Sales,White,Female,40,0
32,Private,Bachelors,Married,White-Collar,White,Male,45,1
46,Private,Some-college,Divorced,Service,White,Female,30,0
42,Private,HS-grad,Single,White-Collar,Other,Female,25,0
36,Private,Masters,Single,White-Collar,White,Male,15,0
40,Private,Assoc,Separated,Professional,White,Female,40,0
39,Private,HS-grad,Married,Sales,White,Female,36,0
37,Government,Assoc,Married,Professional,Other,Female,40,1
44,Private,Assoc,Separated,White-Collar,White,Male,40,0
38,Private,Some-college,Married,White-Collar,White,Male,50,1
54,Other/Unknown,HS-grad,Married,Other/Unknown,White,Male,40,0
37,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
47,Private,HS-grad,Divorced,Sales,White,Female,40,0
50,Private,Some-college,Married,Blue-Collar,White,Male,50,0
39,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,50,0
35,Private,Assoc,Married,Sales,White,Male,50,1
32,Government,HS-grad,Married,White-Collar,White,Female,40,1
51,Other/Unknown,HS-grad,Married,Other/Unknown,White,Male,40,0
32,Private,Bachelors,Married,White-Collar,White,Male,55,1
49,Private,Masters,Married,Service,Other,Male,40,0
34,Private,Prof-school,Single,Service,Other,Male,40,1
47,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
28,Private,Bachelors,Married,White-Collar,White,Male,40,1
36,Private,School,Divorced,Sales,White,Female,40,0
50,Private,Masters,Married,White-Collar,White,Female,40,0
42,Self-Employed,Prof-school,Married,Professional,White,Male,60,1
44,Self-Employed,Bachelors,Divorced,White-Collar,White,Female,40,0
39,Government,HS-grad,Divorced,Professional,White,Male,40,0
33,Private,School,Single,Blue-Collar,White,Male,40,1
37,Government,Masters,Married,Professional,White,Male,60,1
36,Private,School,Divorced,Service,Other,Male,72,0
54,Private,Some-college,Divorced,Blue-Collar,White,Male,60,0
37,Private,Some-college,Married,Blue-Collar,White,Male,40,1
61,Private,School,Married,Service,White,Female,40,0
33,Private,Masters,Married,White-Collar,White,Male,40,1
47,Private,Some-college,Married,Professional,White,Male,40,0
41,Private,Some-college,Married,Sales,White,Male,50,1
43,Private,Some-college,Divorced,Service,White,Male,40,1
37,Private,Bachelors,Married,Service,White,Male,40,1
40,Government,Assoc,Divorced,White-Collar,White,Male,50,1
39,Private,Bachelors,Single,White-Collar,White,Female,35,0
31,Private,Prof-school,Married,Professional,White,Male,60,1
62,Government,School,Widowed,Service,Other,Female,35,0
44,Private,Some-college,Single,Service,White,Female,40,0
50,Private,School,Separated,White-Collar,Other,Female,47,0
50,Private,Some-college,Divorced,Service,White,Female,36,0
33,Private,Prof-school,Single,Professional,White,Female,50,1
34,Private,HS-grad,Married,White-Collar,White,Female,20,1
76,Other/Unknown,Bachelors,Married,Other/Unknown,White,Male,10,0
46,Private,School,Separated,Blue-Collar,White,Male,50,0
60,Private,Bachelors,Divorced,Professional,White,Female,42,0
36,Private,HS-grad,Single,Blue-Collar,White,Male,45,0
40,Private,HS-grad,Married,Sales,White,Male,50,0
54,Private,Assoc,Widowed,White-Collar,White,Female,30,0
39,Private,Bachelors,Married,Sales,White,Male,30,1
55,Private,HS-grad,Married,Blue-Collar,White,Male,60,0
50,Private,Masters,Married,Professional,White,Male,60,0
39,Private,School,Single,Service,White,Female,25,0
63,Government,Bachelors,Married,Blue-Collar,White,Male,40,0
38,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
59,Private,HS-grad,Single,White-Collar,White,Male,50,0
46,Private,Some-college,Married,Blue-Collar,White,Female,20,0
39,Private,HS-grad,Single,Service,White,Male,62,0
34,Private,Bachelors,Married,White-Collar,White,Male,50,1
35,Private,Masters,Single,Professional,White,Male,60,1
37,Private,Bachelors,Single,White-Collar,White,Female,40,0
36,Government,Bachelors,Divorced,Professional,Other,Female,40,0
71,Private,HS-grad,Widowed,Sales,White,Female,20,0
61,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
90,Government,HS-grad,Married,Blue-Collar,White,Male,30,0
44,Private,HS-grad,Married,Blue-Collar,Other,Male,40,0
40,Private,Some-college,Separated,Blue-Collar,White,Male,40,0
55,Private,HS-grad,Divorced,Sales,Other,Female,40,0
32,Self-Employed,Some-college,Married,White-Collar,White,Male,55,1
61,Other/Unknown,HS-grad,Divorced,Other/Unknown,White,Female,99,0
43,Private,HS-grad,Divorced,White-Collar,White,Female,40,0
42,Private,Bachelors,Married,White-Collar,White,Male,60,0
75,Other/Unknown,School,Widowed,Other/Unknown,Other,Female,1,0
48,Self-Employed,Some-college,Divorced,Sales,White,Female,60,0
38,Private,Bachelors,Married,White-Collar,White,Male,50,1
58,Private,School,Divorced,Blue-Collar,Other,Male,50,0
46,Private,Some-college,Divorced,Blue-Collar,White,Male,55,0
25,Private,HS-grad,Married,Service,White,Female,48,1
62,Private,Some-college,Divorced,White-Collar,White,Female,30,0
43,Private,Some-college,Married,Sales,White,Male,38,1
47,Private,Some-college,Married,Blue-Collar,White,Male,40,0
33,Private,Masters,Married,Professional,White,Male,37,1
67,Self-Employed,School,Married,White-Collar,White,Male,20,0
36,Private,HS-grad,Single,Blue-Collar,Other,Female,40,0
60,Private,HS-grad,Married,Blue-Collar,White,Male,35,0
42,Private,Bachelors,Divorced,White-Collar,White,Female,45,0
41,Private,Assoc,Married,Service,White,Female,38,1
49,Self-Employed,Bachelors,Married,Blue-Collar,White,Male,70,0
76,Self-Employed,School,Single,Blue-Collar,White,Male,30,0
43,Self-Employed,Some-college,Married,Blue-Collar,White,Male,84,0
51,Private,Some-college,Married,Blue-Collar,White,Male,40,0
40,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,30,0
59,Private,School,Married,Service,White,Female,99,0
45,Private,Bachelors,Married,Sales,White,Male,55,0
51,Private,HS-grad,Married,Professional,White,Male,40,0
52,Private,HS-grad,Married,Blue-Collar,Other,Female,40,0
60,Self-Employed,HS-grad,Divorced,Sales,Other,Male,55,0
64,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
42,Government,Masters,Married,Professional,White,Male,55,0
36,Government,Some-college,Married,Blue-Collar,White,Female,40,0
39,Private,HS-grad,Separated,Blue-Collar,Other,Male,40,0
62,Other/Unknown,School,Single,Other/Unknown,White,Female,40,0
42,Self-Employed,Bachelors,Married,Professional,White,Male,40,1
36,Private,School,Single,Blue-Collar,White,Female,34,0
43,Private,Prof-school,Married,Professional,White,Male,60,1
52,Other/Unknown,Some-college,Married,Other/Unknown,White,Male,50,0
51,Private,Assoc,Separated,Professional,White,Female,40,0
42,Private,Some-college,Married,Blue-Collar,White,Male,38,0
57,Private,School,Widowed,Service,White,Female,40,0
40,Private,Bachelors,Married,Professional,Other,Male,40,1
41,Private,Bachelors,Married,White-Collar,White,Male,50,1
47,Private,School,Married,Blue-Collar,White,Male,40,0
30,Private,Bachelors,Single,Professional,White,Male,45,1
39,Private,Masters,Married,White-Collar,White,Female,65,1
37,Self-Employed,Some-college,Married,White-Collar,White,Female,15,0
49,Private,HS-grad,Divorced,White-Collar,White,Female,40,0
45,Private,Some-college,Divorced,White-Collar,White,Female,40,0
55,Private,HS-grad,Divorced,Sales,White,Female,40,0
37,Private,Some-college,Widowed,Blue-Collar,Other,Female,48,0
32,Private,Some-college,Married,White-Collar,White,Male,40,1
47,Self-Employed,Some-college,Divorced,Service,White,Female,45,0
29,Private,Bachelors,Single,White-Collar,White,Female,45,1
39,Self-Employed,Prof-school,Married,Professional,White,Male,65,1
46,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,70,0
68,Private,School,Divorced,Blue-Collar,White,Male,20,0
31,Self-Employed,Assoc,Married,Blue-Collar,White,Male,50,1
37,Private,School,Married,Service,White,Male,40,0
49,Government,Assoc,Divorced,White-Collar,Other,Female,44,0
61,Private,HS-grad,Married,Blue-Collar,White,Male,20,0
38,Self-Employed,School,Married,Blue-Collar,White,Male,56,0
27,Private,Masters,Married,White-Collar,White,Male,45,1
42,Other/Unknown,School,Married,Other/Unknown,White,Male,22,0
55,Government,Bachelors,Single,Professional,White,Female,40,0
41,Private,School,Divorced,Blue-Collar,Other,Female,40,0
62,Private,HS-grad,Widowed,Sales,White,Female,43,0
58,Private,Assoc,Married,Blue-Collar,White,Male,40,0
35,Private,Masters,Married,Professional,White,Female,50,1
42,Government,HS-grad,Married,White-Collar,White,Male,8,0
48,Private,Some-college,Married,Blue-Collar,White,Male,40,0
36,Private,Some-college,Married,White-Collar,White,Male,60,0
37,Private,Masters,Married,White-Collar,White,Male,40,1
62,Private,School,Married,Professional,White,Male,20,0
56,Private,HS-grad,Divorced,White-Collar,Other,Male,40,0
45,Government,Bachelors,Married,White-Collar,White,Male,40,0
40,Private,Some-college,Married,Blue-Collar,White,Male,40,0
43,Government,HS-grad,Married,Blue-Collar,White,Male,40,0
64,Self-Employed,Some-college,Married,Sales,White,Male,20,0
26,Private,Bachelors,Married,White-Collar,White,Female,40,1
40,Private,Masters,Divorced,Professional,White,Male,43,0
46,Self-Employed,Bachelors,Married,Sales,White,Male,52,0
40,Self-Employed,Prof-school,Married,Professional,White,Male,45,1
40,Private,HS-grad,Separated,Blue-Collar,Other,Male,40,0
47,Private,HS-grad,Divorced,White-Collar,Other,Female,45,0
26,Private,Bachelors,Married,Blue-Collar,White,Male,58,1
34,Private,Assoc,Married,White-Collar,Other,Male,45,1
64,Self-Employed,HS-grad,Widowed,Service,White,Female,40,0
43,Private,HS-grad,Married,Blue-Collar,Other,Male,40,0
37,Self-Employed,Assoc,Married,Blue-Collar,White,Male,55,0
33,Private,Masters,Married,Professional,White,Male,33,1
36,Government,Prof-school,Divorced,Professional,Other,Female,40,0
42,Private,Some-college,Divorced,Blue-Collar,White,Male,40,0
61,Self-Employed,School,Married,Blue-Collar,White,Male,20,0
22,Self-Employed,Some-college,Single,Sales,Other,Male,55,1
50,Self-Employed,Bachelors,Married,White-Collar,White,Male,35,0
46,Government,Assoc,Divorced,Blue-Collar,Other,Female,60,0
65,Private,School,Married,Blue-Collar,White,Male,20,0
42,Private,School,Separated,White-Collar,White,Male,40,0
43,Government,HS-grad,Single,Blue-Collar,White,Male,60,0
37,Private,Bachelors,Married,Professional,White,Male,50,1
48,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,0
41,Government,Some-college,Married,White-Collar,White,Male,40,0
45,Private,Masters,Divorced,Professional,White,Male,45,0
52,Private,Assoc,Separated,White-Collar,Other,Female,60,0
53,Self-Employed,School,Married,Blue-Collar,White,Male,40,0
40,Private,Bachelors,Single,Service,Other,Female,48,0
55,Self-Employed,School,Widowed,Blue-Collar,White,Male,40,0
37,Private,Masters,Divorced,Professional,White,Male,48,0
41,Private,HS-grad,Married,Service,White,Male,40,0
46,Government,HS-grad,Divorced,Professional,White,Female,40,0
42,Government,Some-college,Divorced,White-Collar,White,Female,38,0
44,Private,HS-grad,Divorced,White-Collar,White,Female,40,0
38,Private,HS-grad,Single,Professional,White,Male,40,0
38,Government,Some-college,Single,Service,White,Male,12,0
35,Private,Masters,Married,Sales,White,Male,55,1
39,Government,Some-college,Married,White-Collar,White,Male,40,0
40,Private,Some-college,Separated,White-Collar,White,Female,20,0
30,Other/Unknown,Bachelors,Married,Other/Unknown,Other,Female,40,1
38,Government,Some-college,Married,White-Collar,White,Male,45,1
90,Private,HS-grad,Single,Service,White,Female,40,0
27,Government,Some-college,Married,White-Collar,Other,Male,40,1
36,Private,Bachelors,Divorced,Service,White,Male,20,0
37,Private,HS-grad,Divorced,White-Collar,White,Female,12,0
60,Private,HS-grad,Widowed,Sales,White,Female,50,0
53,Private,School,Married,Blue-Collar,White,Male,40,0
54,Government,HS-grad,Married,Professional,White,Male,40,0
39,Private,Some-college,Divorced,Blue-Collar,White,Male,65,0
41,Private,HS-grad,Married,Blue-Collar,White,Male,45,0
36,Other/Unknown,Bachelors,Single,Other/Unknown,White,Female,40,0
58,Government,HS-grad,Married,Blue-Collar,White,Male,48,0
38,Private,Some-college,Single,Service,White,Male,40,0
40,Private,HS-grad,Married,White-Collar,White,Male,40,0
49,Private,Assoc,Married,Blue-Collar,White,Female,40,0
47,Self-Employed,Doctorate,Married,Blue-Collar,White,Male,45,0
42,Government,Some-college,Divorced,White-Collar,White,Female,40,0
32,Private,HS-grad,Married,White-Collar,White,Male,40,1
50,Government,Masters,Divorced,Professional,Other,Female,30,0
63,Government,Bachelors,Divorced,Blue-Collar,Other,Male,35,0
54,Private,School,Married,Blue-Collar,White,Male,40,0
45,Private,HS-grad,Widowed,Blue-Collar,White,Female,40,0
49,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
32,Private,Bachelors,Married,Blue-Collar,White,Male,50,1
25,Private,Bachelors,Married,Professional,White,Male,45,1
41,Private,Some-college,Single,Blue-Collar,Other,Male,43,0
40,Private,HS-grad,Divorced,Blue-Collar,White,Female,40,0
60,Private,Assoc,Married,Service,White,Male,40,0
42,Self-Employed,Some-college,Married,Blue-Collar,White,Male,60,0
56,Private,School,Married,Blue-Collar,Other,Male,40,0
33,Self-Employed,Bachelors,Married,Professional,White,Female,50,1
29,Self-Employed,HS-grad,Married,Professional,White,Male,65,1
47,Private,Assoc,Divorced,Professional,White,Female,40,0
59,Government,HS-grad,Widowed,Blue-Collar,White,Male,40,0
42,Self-Employed,Assoc,Married,Blue-Collar,Other,Male,40,0
36,Government,Bachelors,Married,White-Collar,White,Male,50,1
37,Private,Bachelors,Married,Professional,Other,Male,50,1
41,Private,Bachelors,Single,Blue-Collar,White,Male,40,0
34,Private,Bachelors,Married,Professional,White,Female,36,1
51,Private,HS-grad,Married,Blue-Collar,Other,Male,40,0
39,Government,HS-grad,Separated,Service,White,Male,40,0
38,Private,Some-college,Divorced,Blue-Collar,White,Male,40,0
33,Government,Doctorate,Married,Professional,White,Female,48,1
39,Private,School,Married,Blue-Collar,White,Male,40,0
37,Self-Employed,Prof-school,Married,Professional,White,Male,40,1
36,Private,HS-grad,Married,Blue-Collar,Other,Male,40,0
61,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
58,Private,HS-grad,Divorced,White-Collar,White,Female,40,0
41,Self-Employed,Bachelors,Married,White-Collar,White,Female,40,1
42,Private,School,Divorced,Blue-Collar,White,Male,40,0
38,Self-Employed,HS-grad,Single,Blue-Collar,Other,Male,15,0
38,Private,Assoc,Single,Service,White,Female,40,0
70,Self-Employed,Some-college,Married,White-Collar,White,Male,35,0
36,Government,Some-college,Married,Service,White,Male,40,1
40,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,0
69,Other/Unknown,School,Married,Other/Unknown,White,Male,48,0
41,Self-Employed,Prof-school,Married,Professional,White,Male,60,1
31,Private,Bachelors,Married,White-Collar,White,Male,55,1
41,Private,Assoc,Married,Sales,White,Male,40,0
56,Private,Some-college,Divorced,White-Collar,White,Female,40,0
40,Government,Masters,Married,Professional,White,Male,35,1
48,Private,HS-grad,Single,Blue-Collar,Other,Female,40,0
36,Government,Masters,Single,Professional,White,Female,40,0
42,Private,HS-grad,Separated,Blue-Collar,White,Male,40,0
29,Private,Bachelors,Married,White-Collar,White,Male,50,1
37,Government,Bachelors,Married,Professional,White,Female,30,1
43,Government,Bachelors,Married,Service,White,Male,55,1
36,Self-Employed,HS-grad,Married,White-Collar,White,Male,50,1
67,Private,HS-grad,Widowed,Sales,White,Female,18,0
58,Private,HS-grad,Divorced,White-Collar,Other,Female,36,0
51,Government,HS-grad,Married,White-Collar,White,Male,40,0
37,Private,Bachelors,Married,White-Collar,White,Male,60,1
42,Private,Some-college,Married,Blue-Collar,White,Female,37,1
38,Other/Unknown,Prof-school,Divorced,Other/Unknown,White,Female,30,0
72,Private,Bachelors,Married,Sales,White,Male,6,0
46,Private,School,Married,Service,White,Female,24,0
35,Private,Masters,Single,Blue-Collar,White,Male,50,1
46,Government,HS-grad,Married,White-Collar,White,Male,65,0
54,Private,HS-grad,Single,Professional,White,Male,40,0
44,Private,HS-grad,Married,Service,Other,Female,40,0
28,Private,HS-grad,Married,Sales,White,Male,40,1
44,Self-Employed,Some-college,Married,White-Collar,White,Male,50,1
58,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,50,0
64,Private,Masters,Married,Professional,Other,Male,60,0
43,Private,Bachelors,Single,White-Collar,White,Male,40,0
47,Government,Some-college,Divorced,White-Collar,Other,Female,40,0
37,Private,Some-college,Married,Blue-Collar,White,Male,70,0
63,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,30,0
61,Other/Unknown,HS-grad,Married,Other/Unknown,Other,Male,6,0
46,Private,HS-grad,Married,White-Collar,White,Male,40,0
39,Private,Bachelors,Divorced,Service,White,Female,40,0
37,Private,Bachelors,Married,White-Collar,White,Male,40,1
34,Government,Prof-school,Married,Professional,White,Male,40,1
40,Government,School,Married,Service,White,Female,40,1
47,Private,Some-college,Divorced,Sales,White,Male,55,0
61,Private,Some-college,Divorced,Sales,White,Female,40,0
61,Private,Some-college,Widowed,White-Collar,White,Female,40,0
58,Private,Assoc,Divorced,White-Collar,White,Male,40,0
36,Self-Employed,Bachelors,Married,White-Collar,White,Male,50,1
43,Private,School,Married,Blue-Collar,White,Male,35,0
56,Self-Employed,School,Divorced,Sales,White,Male,40,0
49,Government,Bachelors,Single,Professional,White,Female,50,0
40,Private,HS-grad,Married,Service,White,Male,30,0
46,Private,HS-grad,Divorced,Professional,White,Female,40,0
72,Other/Unknown,Some-college,Married,Other/Unknown,White,Male,32,0
37,Government,Some-college,Divorced,White-Collar,White,Female,40,0
36,Government,Assoc,Married,Service,White,Male,40,0
38,Self-Employed,Masters,Single,Professional,White,Male,40,1
36,Private,School,Single,White-Collar,White,Male,50,0
46,Government,Masters,Divorced,Professional,White,Female,60,0
42,Government,Bachelors,Single,White-Collar,White,Female,40,0
49,Self-Employed,Some-college,Divorced,White-Collar,Other,Female,40,0
25,Private,Masters,Single,Professional,White,Female,40,1
35,Private,Masters,Married,White-Collar,White,Male,50,1
60,Self-Employed,HS-grad,Divorced,Blue-Collar,Other,Male,50,0
44,Private,Some-college,Married,Blue-Collar,White,Male,40,0
42,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
58,Government,Some-college,Widowed,Professional,White,Female,20,0
42,Government,Assoc,Divorced,Professional,Other,Male,40,0
71,Private,School,Single,Service,White,Female,75,0
44,Private,HS-grad,Married,Blue-Collar,White,Male,45,0
37,Self-Employed,Assoc,Married,Sales,White,Male,40,1
45,Private,Some-college,Married,White-Collar,White,Male,40,0
64,Other/Unknown,Prof-school,Married,Other/Unknown,White,Male,16,0
53,Private,HS-grad,Divorced,Sales,White,Female,37,0
39,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
32,Private,HS-grad,Married,Sales,White,Male,50,1
35,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,60,1
37,Private,School,Separated,Service,White,Female,16,0
43,Government,Bachelors,Married,Professional,White,Male,40,1
45,Private,Some-college,Divorced,White-Collar,White,Female,40,0
39,Private,HS-grad,Married,Sales,White,Male,50,0
